========================================================================================================================
File Design Information:

Date:       19/05/24
Time:       10:08
Revision:   835020f0314e7f02aae7a01dc098674641266c34
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"J7","TopLayer","132,4780","33,6560","0"
"J5","TopLayer","-13,0500","33,5217","180"
"D5","TopLayer","121,9188","47,4726","0"
"D10","TopLayer","58,6120","54,5647","180"
"D1","TopLayer","67,4370","18,5420","270"
"D3","TopLayer","124,3330","41,6890","90"
"D2","TopLayer","124,3330","33,1216","270"
"Q8","TopLayer","-19,2683","15,4490","0"
"Q3","TopLayer","59,6970","62,4230","180"
"Q2","TopLayer","59,2894","34,6266","0"
"Q1","TopLayer","59,2894","29,9682","0"
"X1","TopLayer","28,5032","25,0791","0"
"D8","TopLayer","-23,3303","18,0420","90"
"D7","TopLayer","-18,2285","63,8391","270"
"D6","TopLayer","-20,2535","57,5310","0"
"J3","TopLayer","29,0805","18,9290","180"
"J9","TopLayer","103,5130","38,0644","180"
"U15","TopLayer","70,5358","43,3641","270"
"C50","TopLayer","69,8500","18,6364","270"
"C49","TopLayer","58,5791","-8,5977","0"
"C48","TopLayer","74,8480","43,3025","90"
"C47","TopLayer","106,2130","10,7932","90"
"C46","TopLayer","-2,8808","10,2108","0"
"C45","TopLayer","22,5095","63,0895","90"
"C44","TopLayer","54,7080","4,1006","270"
"C43","TopLayer","101,6050","63,0180","90"
"C42","TopLayer","51,1048","47,5382","90"
"C41","TopLayer","58,5703","77,8535","0"
"C40","TopLayer","-17,0667","74,9842","90"
"C39","TopLayer","13,9192","-0,0106","270"
"C38","TopLayer","19,0793","69,1388","180"
"C37","TopLayer","55,6224","-1,1090","270"
"C36","TopLayer","97,0754","68,5038","180"
"C33","TopLayer","-20,0000","21,1670","90"
"C29","TopLayer","40,2952","39,4740","0"
"C28","TopLayer","24,4506","25,1541","90"
"C27","TopLayer","32,5268","25,0791","270"
"C26","TopLayer","17,7860","33,5383","180"
"C25","TopLayer","17,7725","37,0468","180"
"C24","TopLayer","24,4400","44,8163","90"
"C23","TopLayer","26,7595","44,8168","90"
"C22","TopLayer","34,6659","44,7413","90"
"C21","TopLayer","40,2952","37,0362","0"
"C20","TopLayer","40,2952","33,4362","0"
"C19","TopLayer","34,9161","25,0792","270"
"C18","TopLayer","22,0095","44,8168","90"
"C17","TopLayer","32,2607","44,7418","90"
"C16","TopLayer","37,3291","25,0792","270"
"C15","TopLayer","17,2725","39,9240","90"
"C14","TopLayer","14,8467","39,9240","90"
"C12","TopLayer","116,1705","35,1501","180"
"C11","TopLayer","116,2833","41,8835","180"
"C3","TopLayer","91,4610","26,5430","0"
"C2","TopLayer","76,7990","26,5430","0"
"C1","TopLayer","58,6541","-2,1590","180"
"C35","TopLayer","148,8860","64,3540","0"
"C34","TopLayer","148,8860","67,3339","0"
"C32","TopLayer","-16,1798","43,9420","270"
"C31","TopLayer","-30,3530","46,7721","90"
"C30","TopLayer","-16,1692","48,6394","270"
"C13","TopLayer","116,1705","32,4439","180"
"C10","TopLayer","120,5507","36,6966","270"
"C9","TopLayer","-24,2570","69,4158","0"
"C8","TopLayer","109,7203","30,0482","0"
"C7","TopLayer","120,0007","11,7932","90"
"C6","TopLayer","122,8684","11,7932","90"
"C5","TopLayer","119,0930","25,1717","90"
"C4","TopLayer","112,2871","11,3813","90"
"U13","TopLayer","-24,2570","46,2280","0"
"U2","TopLayer","58,6005","-5,3580","0"
"D9","TopLayer","142,8830","63,7290","90"
"U5","TopLayer","-24,2570","65,5505","0"
"J6","TopLayer","142,4990","73,7290","180"
"R60","TopLayer","59,8870","52,0247","180"
"R59","TopLayer","-31,1150","55,1180","90"
"R58","TopLayer","-15,9690","16,4630","90"
"R57","TopLayer","-19,2813","18,2750","0"
"R56","TopLayer","-22,2670","50,2394","180"
"R55","TopLayer","-18,9230","43,9420","90"
"R54","TopLayer","-18,9336","48,6394","90"
"R53","TopLayer","-2,8941","12,2804","0"
"R52","TopLayer","0,1270","13,7740","90"
"R51","TopLayer","-2,8674","14,7547","0"
